molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL558406,CSc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1,c1ncc2ncn([C@H]3CCCO3)c2n1,216000.0,nM,3.6655462488490693,-0.72,12,5,430.51,1,182.63,28,CHEMBL1151871
CHEMBL3109080,O=C(O)[C@H](Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1CCc1csc2ccccc12,230000.0,nM,3.638272163982407,3.19,4,1,351.38,0,74.68,25,CHEMBL3108732
CHEMBL4765125,CC(C)(C)c1ccc(NC(=O)c2ncn(CC(=O)NCCn3ccc4c(N)ncnc43)n2)cc1,O=C(Cn1cnc(C(=O)Nc2ccccc2)n1)NCCn1ccc2cncnc21,248000.0,nM,3.605548319173784,1.97,9,3,461.53,0,145.64,34,CHEMBL4680176
CHEMBL3126645,Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1,O=C(Nc1ccc(Nc2ccncn2)cc1)c1cccc(Nc2ccnc3ccccc23)c1,265000.0,nM,3.576754126063192,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813
CHEMBL1916669,CN(C)CC1CC(c2ccc(N)cc2)=NO1,c1ccc(C2=NOCC2)cc1,270000.0,nM,3.568636235841013,1.32,4,1,219.29,0,50.85,16,CHEMBL1914404
CHEMBL563570,N[C@@H](CCSC[C@H]1O[C@@H](n2cnc3cncnc32)[C@H](O)[C@@H]1O)C(=O)O,c1ncc2ncn([C@H]3CCCO3)c2n1,300000.0,nM,3.5228787452803374,-1.02,10,4,369.40,0,156.61,25,CHEMBL1151871
CHEMBL1235825,CN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,c1ncc2ncn([C@H]3CCCO3)c2n1,302000.0,nM,3.519993057042849,-2.24,11,5,381.39,1,185.87,27,CHEMBL2016468
CHEMBL1916683,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1,c1ccc(CC2=NOC3CNCC23)cc1,310000.0,nM,3.508638306165727,1.45,5,0,261.28,0,67.97,19,CHEMBL1914404
CHEMBL1564869,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1CCc1c[nH]c2ccccc12,390000.0,nM,3.4089353929735005,2.46,3,2,334.33,0,90.47,25,CHEMBL3108732
CHEMBL1916680,CN1CC2ON=C(c3ccc(N)cc3)C2C1,c1ccc(C2=NOC3CNCC23)cc1,570000.0,nM,3.2441251443275085,0.93,4,1,217.27,0,50.85,16,CHEMBL1914404
CHEMBL1916684,COc1ccc(CC2=NOC3CN(C)CC23)cc1,c1ccc(CC2=NOC3CNCC23)cc1,1130000.0,nM,2.94692155651658,1.55,4,0,246.31,0,34.06,18,CHEMBL1914404
CHEMBL1916672,CN(C)CC1CC(Cc2ccc([N+](=O)[O-])cc2)=NO1,c1ccc(CC2=NOCC2)cc1,1600000.0,nM,2.795880017344075,1.84,5,0,263.30,0,67.97,19,CHEMBL1914404
