molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,framework,scaffold_idx
CHEMBL1089316,CN1C(=O)[C@@]23C[C@]4([C@]56C[C@@]78SS[C@@](CO)(C(=O)N7[C@H]5Nc5ccccc56)N(C)C8=O)c5ccccc5N[C@@H]4N2C(=O)[C@]1(CO)SS3,O=C1C2NC(=O)[C@]3(C[C@]4([C@]56C[C@]78SSC(NC7=O)C(=O)N8[C@H]5Nc5ccccc56)c5ccccc5N[C@@H]4N13)SS2,2400.0,nM,5.619788758288394,1.33,12.0,4.0,696.86,2.0,145.76,46.0,CHEMBL2169811,O=C1C2NC(=O)C3(CC4(C56CC78SSC(NC7=O)C(=O)N8C5Nc5ccccc56)c5ccccc5NC4N13)SS2,11
CHEMBL4467642,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C(=O)NCCCCN1CCCC1,O=C(NCCCCN1CCCC1)c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,2450.0,nM,5.610833915635467,2.89,9.0,2.0,552.77,1.0,89.1,40.0,CHEMBL4346750,O=C(NCCCCN1CCCC1)c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,71
CHEMBL3109626,COc1cc2c(cc1OC)C1(CCCC1)C(N)=N2,C1=Nc2ccccc2C12CCCC2,2460.0,nM,5.609064892896621,2.52,4.0,1.0,246.31,0.0,56.84,18.0,CHEMBL3108684,C1=Nc2ccccc2C12CCCC2,74
CHEMBL3926612,CN1CCCN(c2cc(NCCN3CCCCC3)c3c4c(onc24)-c2ccccc2C3=O)CC1,O=C1c2ccccc2-c2onc3c(N4CCCNCC4)cc(NCCN4CCCCC4)c1c23,2490.0,nM,5.603800652904264,4.08,7.0,1.0,459.59,0.0,64.85,34.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3c(N4CCCNCC4)cc(NCCN4CCCCC4)c1c23,75
CHEMBL4532481,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C(=O)NCCN,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,2540.0,nM,5.5951662833800615,0.97,9.0,3.0,470.62,0.0,111.88,34.0,CHEMBL4346750,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,0
CHEMBL1950961,CN1C(=O)[C@]23Cc4cccc(O)c4N2C(=O)[C@@]1(CO)SS3,O=C1C2NC(=O)[C@@]3(Cc4ccccc4N13)SS2,2600.0,nM,5.585026652029182,0.53,6.0,2.0,324.38,0.0,81.08,21.0,CHEMBL1949536,O=C1C2NC(=O)C3(Cc4ccccc4N13)SS2,27
CHEMBL3954248,O=C1c2ccccc2-c2onc3c(N4CCN(c5ccccc5)CC4)cc(NCCN4CCCCC4)c1c23,O=C1c2ccccc2-c2onc3c(N4CCN(c5ccccc5)CC4)cc(NCCN4CCCCC4)c1c23,2680.0,nM,5.571865205971211,5.26,7.0,1.0,507.64,2.0,64.85,38.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3c(N4CCN(c5ccccc5)CC4)cc(NCCN4CCCCC4)c1c23,77
CHEMBL4166777,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(-c4ccccc4)o3)nc2cc1OCCCN1CCCC1,c1ccc(-c2ccc(-c3cc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)o2)cc1,2720.0,nM,5.565431095965801,6.54,7.0,1.0,540.71,2.0,63.0,40.0,CHEMBL4130634,c1ccc(-c2ccc(-c3cc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)o2)cc1,78
CHEMBL4206071,COc1cc2c(OC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(OC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2870.0,nM,5.542118103266008,5.15,7.0,0.0,479.62,1.0,60.2,35.0,CHEMBL4190398,c1coc(-c2cc(OC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,79
CHEMBL3917648,CN(C)c1cc(NCCCN2CCCC2)c2c3c(onc13)-c1ccccc1C2=O,O=C1c2ccccc2-c2onc3ccc(NCCCN4CCCC4)c1c23,2980.0,nM,5.525783735923745,4.0,6.0,1.0,390.49,0.0,61.61,29.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3ccc(NCCCN4CCCC4)c1c23,72
